pH,C,M,Y,K
1,0,69,77,2
1.01,0,68.84,76.97,2
1.02,0,68.68,76.94,2
1.03,0,68.52,76.91,2
1.04,0,68.36,76.88,2
1.05,0,68.2,76.85,2
1.06,0,68.04,76.82,2
1.07,0,67.88,76.79,2
1.08,0,67.72,76.76,2
1.09,0,67.56,76.73,2
1.1,0,67.4,76.7,2
1.11,0,67.24,76.67,2
1.12,0,67.08,76.64,2
1.13,0,66.92,76.61,2
1.14,0,66.76,76.58,2
1.15,0,66.6,76.55,2
1.16,0,66.44,76.52,2
1.17,0,66.28,76.49,2
1.18,0,66.12,76.46,2
1.19,0,65.96,76.43,2
1.2,0,65.8,76.4,2
1.21,0,65.64,76.37,2
1.22,0,65.48,76.34,2
1.23,0,65.32,76.31,2
1.24,0,65.16,76.28,2
1.25,0,65,76.25,2
1.26,0,64.84,76.22,2
1.27,0,64.68,76.19,2
1.28,0,64.52,76.16,2
1.29,0,64.36,76.13,2
1.3,0,64.2,76.1,2
1.31,0,64.04,76.07,2
1.32,0,63.88,76.04,2
1.33,0,63.72,76.01,2
1.34,0,63.56,75.98,2
1.35,0,63.4,75.95,2
1.36,0,63.24,75.92,2
1.37,0,63.08,75.89,2
1.38,0,62.92,75.86,2
1.39,0,62.76,75.83,2
1.4,0,62.6,75.8,2
1.41,0,62.44,75.77,2
1.42,0,62.28,75.74,2
1.43,0,62.12,75.71,2
1.44,0,61.96,75.68,2
1.45,0,61.8,75.65,2
1.46,0,61.64,75.62,2
1.47,0,61.48,75.59,2
1.48,0,61.32,75.56,2
1.49,0,61.16,75.53,2
1.5,0,61,75.5,2
1.51,0,60.84,75.47,2
1.52,0,60.68,75.44,2
1.53,0,60.52,75.41,2
1.54,0,60.36,75.38,2
1.55,0,60.2,75.35,2
1.56,0,60.04,75.32,2
1.57,0,59.88,75.29,2
1.58,0,59.72,75.26,2
1.59,0,59.56,75.23,2
1.6,0,59.4,75.2,2
1.61,0,59.24,75.17,2
1.62,0,59.08,75.14,2
1.63,0,58.92,75.11,2
1.64,0,58.76,75.08,2
1.65,0,58.6,75.05,2
1.66,0,58.44,75.02,2
1.67,0,58.28,74.99,2
1.68,0,58.12,74.96,2
1.69,0,57.96,74.93,2
1.7,0,57.8,74.9,2
1.71,0,57.64,74.87,2
1.72,0,57.48,74.84,2
1.73,0,57.32,74.81,2
1.74,0,57.16,74.78,2
1.75,0,57,74.75,2
1.76,0,56.84,74.72,2
1.77,0,56.68,74.69,2
1.78,0,56.52,74.66,2
1.79,0,56.36,74.63,2
1.8,0,56.2,74.6,2
1.81,0,56.04,74.57,2
1.82,0,55.88,74.54,2
1.83,0,55.72,74.51,2
1.84,0,55.56,74.48,2
1.85,0,55.4,74.45,2
1.86,0,55.24,74.42,2
1.87,0,55.08,74.39,2
1.88,0,54.92,74.36,2
1.89,0,54.76,74.33,2
1.9,0,54.6,74.3,2
1.91,0,54.44,74.27,2
1.92,0,54.28,74.24,2
1.93,0,54.12,74.21,2
1.94,0,53.96,74.18,2
1.95,0,53.8,74.15,2
1.96,0,53.64,74.12,2
1.97,0,53.48,74.09,2
1.98,0,53.32,74.06,2
1.99,0,53.16,74.03,2
2,0,53,74,2
2.01,0,52.8986,73.9544,1.9918
2.02,0,52.7972,73.9088,1.9836
2.03,0,52.6958,73.8632,1.9754
2.04,0,52.5944,73.8176,1.9672
2.05,0,52.493,73.772,1.959
2.06,0,52.3916,73.7264,1.9508
2.07,0,52.2902,73.6808,1.9426
2.08,0,52.1888,73.6352,1.9344
2.09,0,52.0874,73.5896,1.9262
2.1,0,51.986,73.544,1.918
2.11,0,51.8846,73.4984,1.9098
2.12,0,51.7832,73.4528,1.9016
2.13,0,51.6818,73.4072,1.8934
2.14,0,51.5804,73.3616,1.8852
2.15,0,51.479,73.316,1.877
2.16,0,51.3776,73.2704,1.8688
2.17,0,51.2762,73.2248,1.8606
2.18,0,51.1748,73.1792,1.8524
2.19,0,51.0734,73.1336,1.8442
2.2,0,50.972,73.088,1.836
2.21,0,50.8706,73.0424,1.8278
2.22,0,50.7692,72.9968,1.8196
2.23,0,50.6678,72.9512,1.8114
2.24,0,50.5664,72.9056,1.8032
2.25,0,50.465,72.86,1.795
2.26,0,50.3636,72.8144,1.7868
2.27,0,50.2622,72.7688,1.7786
2.28,0,50.1608,72.7232,1.7704
2.29,0,50.0594,72.6776,1.7622
2.3,0,49.958,72.632,1.754
2.31,0,49.8566,72.5864,1.7458
2.32,0,49.7552,72.5408,1.7376
2.33,0,49.6538,72.4952,1.7294
2.34,0,49.5524,72.4496,1.7212
2.35,0,49.451,72.404,1.713
2.36,0,49.3496,72.3584,1.7048
2.37,0,49.2482,72.3128,1.6966
2.38,0,49.1468,72.2672,1.6884
2.39,0,49.0454,72.2216,1.6802
2.4,0,48.944,72.176,1.672
2.41,0,48.8426,72.1304,1.6638
2.42,0,48.7412,72.0848,1.6556
2.43,0,48.6398,72.0392,1.6474
2.44,0,48.5384,71.9936,1.6392
2.45,0,48.437,71.948,1.631
2.46,0,48.3356,71.9024,1.6228
2.47,0,48.2342,71.8568,1.6146
2.48,0,48.1328,71.8112,1.6064
2.49,0,48.0314,71.7656,1.5982
2.5,0,47.93,71.72,1.59
2.51,0,47.8286,71.6744,1.5818
2.52,0,47.7272,71.6288,1.5736
2.53,0,47.6258,71.5832,1.5654
2.54,0,47.5244,71.5376,1.5572
2.55,0,47.423,71.492,1.549
2.56,0,47.3216,71.4464,1.5408
2.57,0,47.2202,71.4008,1.5326
2.58,0,47.1188,71.3552,1.5244
2.59,0,47.0174,71.3096,1.5162
2.6,0,46.916,71.264,1.508
2.61,0,46.8146,71.2184,1.4998
2.62,0,46.7132,71.1728,1.4916
2.63,0,46.6118,71.1272,1.4834
2.64,0,46.5104,71.0816,1.4752
2.65,0,46.409,71.036,1.467
2.66,0,46.3076,70.9904,1.4588
2.67,0,46.2062,70.9448,1.4506
